Timestamp,IP Address,Status,Response Time (ms)
2025-10-27 09:33:05,8.8.8.8,Online,21.52
2025-10-27 09:33:05,1.1.1.1,Online,48.72
2025-10-27 09:33:05,192.168.1.1,Online,2.07
2025-10-27 09:33:08,8.8.8.8,Online,38.18
2025-10-27 09:33:08,1.1.1.1,Online,55.7
2025-10-27 09:33:08,192.168.1.1,Online,2.14
2025-10-27 09:33:15,8.8.8.8,Online,19.57
2025-10-27 09:33:15,1.1.1.1,Online,48.22
2025-10-27 09:33:15,192.168.1.1,Online,1.36
2025-10-27 09:33:18,8.8.8.8,Online,27.81
2025-10-27 09:33:18,1.1.1.1,Online,50.02
2025-10-27 09:33:18,192.168.1.1,Online,3.42
2025-10-27 09:33:25,8.8.8.8,Online,36.23
2025-10-27 09:33:25,1.1.1.1,Online,67.94
2025-10-27 09:33:25,192.168.1.1,Online,1.81
2025-10-27 09:33:28,8.8.8.8,Online,39.0
2025-10-27 09:33:28,1.1.1.1,Online,52.31
2025-10-27 09:33:28,192.168.1.1,Online,2.16
2025-10-27 09:33:35,8.8.8.8,Online,25.61
2025-10-27 09:33:35,1.1.1.1,Online,49.29
2025-10-27 09:33:35,192.168.1.1,Online,2.5
2025-10-27 09:33:39,8.8.8.8,Online,48.88
2025-10-27 09:33:39,1.1.1.1,Online,70.39
2025-10-27 09:33:39,192.168.1.1,Online,6.25
2025-10-27 09:33:45,8.8.8.8,Online,8.23
2025-10-27 09:33:45,1.1.1.1,Online,35.27
2025-10-27 09:33:45,192.168.1.1,Online,2.65
2025-10-27 09:33:49,8.8.8.8,Online,18.02
2025-10-27 09:33:49,1.1.1.1,Online,40.47
2025-10-27 09:33:49,192.168.1.1,Online,1.78
2025-10-27 09:33:55,8.8.8.8,Online,41.08
2025-10-27 09:33:55,1.1.1.1,Online,70.04
2025-10-27 09:33:55,192.168.1.1,Online,1.89
2025-10-27 09:33:59,8.8.8.8,Online,18.16
2025-10-27 09:33:59,1.1.1.1,Online,44.49
2025-10-27 09:33:59,192.168.1.1,Online,3.09
2025-10-27 09:34:05,8.8.8.8,Online,45.59
2025-10-27 09:34:05,1.1.1.1,Online,55.73
2025-10-27 09:34:05,192.168.1.1,Online,2.82
2025-10-27 09:34:09,8.8.8.8,Online,49.2
2025-10-27 09:34:11,1.1.1.1,Offline,N/A
2025-10-27 09:34:11,192.168.1.1,Online,5.11
2025-10-27 09:34:15,8.8.8.8,Online,10.09
2025-10-27 09:34:15,1.1.1.1,Online,60.49
2025-10-27 09:34:15,192.168.1.1,Online,1.66
2025-10-27 09:34:21,8.8.8.8,Online,39.08
2025-10-27 09:34:21,1.1.1.1,Online,72.37
2025-10-27 09:34:21,192.168.1.1,Online,2.26
2025-10-27 09:34:25,8.8.8.8,Online,9.81
2025-10-27 09:34:25,1.1.1.1,Online,66.64
2025-10-27 09:34:26,192.168.1.1,Online,4.88
2025-10-27 09:34:31,8.8.8.8,Online,38.19
2025-10-27 09:34:31,1.1.1.1,Online,53.88
2025-10-27 09:34:31,192.168.1.1,Online,2.4
2025-10-27 09:34:36,8.8.8.8,Online,28.65
2025-10-27 09:34:36,1.1.1.1,Online,56.12
2025-10-27 09:34:36,192.168.1.1,Online,1.92
2025-10-27 09:34:41,8.8.8.8,Online,46.02
2025-10-27 09:34:43,1.1.1.1,Offline,N/A
2025-10-27 09:34:43,192.168.1.1,Online,6.82
2025-10-27 09:34:46,8.8.8.8,Online,54.8
2025-10-27 09:34:46,1.1.1.1,Online,104.55
2025-10-27 09:34:46,192.168.1.1,Online,2.33
2025-10-27 09:34:53,8.8.8.8,Online,7.35
2025-10-27 09:34:53,1.1.1.1,Online,31.29
2025-10-27 09:34:53,192.168.1.1,Online,1.98
2025-10-27 09:34:56,8.8.8.8,Online,10.86
2025-10-27 09:34:56,1.1.1.1,Online,34.91
2025-10-27 09:34:56,192.168.1.1,Online,3.72
2025-10-27 09:35:03,8.8.8.8,Online,12.52
2025-10-27 09:35:03,1.1.1.1,Online,36.76
2025-10-27 09:35:03,192.168.1.1,Online,9.75
2025-10-27 09:35:06,8.8.8.8,Online,10.11
2025-10-27 09:35:06,1.1.1.1,Online,38.89
2025-10-27 09:35:06,192.168.1.1,Online,9.78
2025-10-27 09:35:13,8.8.8.8,Online,16.74
